N,D,age,sex,year,n,mx,ax,qx,px,lx,dx,Lx,Tx,ex,lost,total,edagger,decile,age_2,check_death,check_pop
115884,151,34,1,1981,1,.00130303,.5,.00130218,.99869782,96227.211,125.305,96164.559,3574270.7,37.144075,4594.6804,1146536.9,11.465369,999,,,
89172,162,35,1,1981,1,.00181671,.5,.00181507,.99818493,96101.906,174.4312,96014.691,3478106.2,36.191854,6231.4337,1146536.9,11.465369,999,,,
92070,173,36,1,1981,1,.00187901,.5,.00187724,.99812276,95927.475,180.079,95837.436,3382091.5,35.256755,6264.8484,1146536.9,11.465369,999,,,
92652,161,37,1,1981,1,.00173769,.5,.00173618,.99826382,95747.396,166.2344,95664.279,3286254,34.322124,5627.2894,1146536.9,11.465369,999,,,
90093,172,38,1,1981,1,.00190914,.5,.00190732,.99809268,95581.162,182.3036,95490.01,3190589.7,33.380948,6000.0437,1146536.9,11.465369,999,,,
84192,196,39,1,1981,1,.00232801,.5,.00232531,.99767469,95398.858,221.8315,95287.942,3095099.7,32.443782,7094.3944,1146536.9,11.465369,999,,,
82521,243,40,1,1981,1,.0029447,.5,.00294038,.99705962,95177.027,279.8562,95037.098,2999811.8,31.518234,8693.4459,1146536.9,11.465369,999,,,
85668,261,41,1,1981,1,.00304665,.5,.00304201,.99695799,94897.17,288.6783,94752.831,2904774.7,30.609708,8705.2789,1146536.9,11.465369,999,,,
85833,273,42,1,1981,1,.00318059,.5,.00317554,.99682446,94608.492,300.4335,94458.275,2810021.9,29.701582,8787.1076,1146536.9,11.465369,999,,,
85527,292,43,1,1981,1,.00341413,.5,.00340831,.99659169,94308.059,321.4309,94147.343,2715563.6,28.794608,9110.3143,1146536.9,11.465369,999,,,
84024,318,44,1,1981,1,.00378463,.5,.00377748,.99622252,93986.628,355.0331,93809.111,2621416.2,27.891375,9743.2807,1146536.9,11.465369,999,,,
83817,420,45,1,1981,1,.00501092,.5,.00499839,.99500161,93631.595,468.0075,93397.591,2527607.1,26.995238,12431.117,1146536.9,11.465369,999,,,
83253,391,46,1,1981,1,.00469653,.5,.00468552,.99531448,93163.587,436.5203,92945.327,2434209.5,26.128336,11213.621,1146536.9,11.465369,999,,,
83010,490,47,1,1981,1,.0059029,.5,.00588553,.99411447,92727.067,545.7482,92454.193,2341264.2,25.248984,13546.695,1146536.9,11.465369,999,,,
83247,534,48,1,1981,1,.00641465,.5,.00639414,.99360586,92181.319,589.42,91886.609,2248810,24.395507,14129.81,1146536.9,11.465369,999,,,
84762,590,49,1,1981,1,.00696067,.5,.00693652,.99306348,91591.899,635.3295,91274.234,2156923.4,23.549282,14695.031,1146536.9,11.465369,999,,,
85449,680,50,1,1981,1,.00795796,.5,.00792642,.99207358,90956.569,720.9603,90596.089,2065649.2,22.71028,16076.7,1146536.9,11.465369,999,,,
83538,785,51,1,1981,1,.00939692,.5,.00935298,.99064702,90235.609,843.9716,89813.623,1975053.1,21.887735,18135.851,1146536.9,11.465369,999,,,
84150,869,52,1,1981,1,.0103268,.5,.01027375,.98972625,89391.637,918.3873,88932.444,1885239.5,21.089663,19007.428,1146536.9,11.465369,999,,,
81681,911,53,1,1981,1,.01115314,.5,.01109129,.98890871,88473.25,981.2828,87982.609,1796307,20.303391,19541.703,1146536.9,11.465369,999,,,
83586,1026,54,1,1981,1,.01227478,.5,.01219991,.98780009,87491.967,1067.394,86958.27,1708324.4,19.5255,20433.109,1146536.9,11.465369,999,,,
85590,1180,55,1,1981,1,.01378666,.5,.01369227,.98630773,86424.573,1183.349,85832.899,1621366.1,18.760476,21758.5,1146536.9,11.465369,999,,,
81294,1293,56,1,1981,1,.01590523,.5,.01577974,.98422026,85241.224,1345.085,84568.682,1535533.2,18.013975,23746.625,1146536.9,11.465369,999,,,
82518,1419,57,1,1981,1,.01719625,.5,.01704965,.98295035,83896.14,1430.4,83180.94,1450964.6,17.294771,24231.588,1146536.9,11.465369,999,,,
80562,1605,58,1,1981,1,.01992254,.5,.01972605,.98027395,82465.74,1626.723,81652.378,1367783.6,16.586083,26430.889,1146536.9,11.465369,999,,,
85149,1740,59,1,1981,1,.02043477,.5,.02022809,.97977191,80839.017,1635.219,80021.407,1286131.2,15.909783,25458.488,1146536.9,11.465369,999,,,
84051,1903,60,1,1981,1,.02264102,.5,.02238758,.97761242,79203.798,1773.181,78317.207,1206109.8,15.227929,26414.31,1146536.9,11.465369,999,,,
78990,1872,61,1,1981,1,.0236992,.5,.02342167,.97657833,77430.617,1813.554,76523.84,1127792.6,14.565203,25813.888,1146536.9,11.465369,999,,,
60240,1804,62,1,1981,1,.02994688,.5,.02950509,.97049491,75617.063,2231.088,74501.519,1051268.8,13.902534,30356.777,1146536.9,11.465369,999,,,
57015,1793,63,1,1981,1,.03144786,.5,.03096104,.96903896,73385.975,2272.106,72249.922,976767.27,13.309999,29570.639,1146536.9,11.465369,999,,,
62871,1988,64,1,1981,1,.0316203,.5,.03112816,.96887184,71113.869,2213.644,70007.047,904517.35,12.719282,27483.662,1146536.9,11.465369,999,,,
62655,2194,65,1,1981,1,.03501716,.5,.03441461,.96558539,68900.225,2371.174,67714.638,834510.31,12.111866,28024.424,1146536.9,11.465369,999,,,
67269,2521,66,1,1981,1,.0374764,.5,.03678708,.96321292,66529.051,2447.409,65305.346,766795.67,11.525727,27499.764,1146536.9,11.465369,999,,,
64509,2666,67,1,1981,1,.04132757,.5,.04049087,.95950913,64081.642,2594.721,62784.281,701490.32,10.946822,27678.536,1146536.9,11.465369,999,,,
63066,2945,68,1,1981,1,.04669711,.5,.04563168,.95436832,61486.92,2805.751,60084.044,638706.04,10.387673,28405.581,1146536.9,11.465369,999,,,
59430,3128,69,1,1981,1,.05263335,.5,.05128373,.94871627,58681.169,3009.389,57176.474,578622,9.8604375,28930.557,1146536.9,11.465369,999,,,
56883,3114,70,1,1981,1,.05474395,.5,.05328542,.94671458,55671.779,2966.494,54188.532,521445.52,9.3664246,27042.4,1146536.9,11.465369,999,,,
53358,3206,71,1,1981,1,.06008471,.5,.05833227,.94166773,52705.285,3074.419,51168.076,467256.99,8.8654674,26515.541,1146536.9,11.465369,999,,,
51012,3435,72,1,1981,1,.0673371,.5,.0651438,.9348562,49630.866,3233.143,48014.295,416088.91,8.3836722,26377.122,1146536.9,11.465369,999,,,
46059,3506,73,1,1981,1,.07611976,.5,.07332887,.92667113,46397.723,3402.293,44696.577,368074.62,7.933032,26289.943,1146536.9,11.465369,999,,,
42204,3439,74,1,1981,1,.08148517,.5,.07829522,.92170478,42995.43,3366.337,41312.262,323378.04,7.5212189,24639.671,1146536.9,11.465369,999,,,
38277,3374,75,1,1981,1,.08814693,.5,.08442598,.91557402,39629.094,3345.725,37956.231,282065.78,7.117644,23161.631,1146536.9,11.465369,999,,,
34653,3275,76,1,1981,1,.09450841,.5,.090244,.909756,36283.368,3274.356,34646.19,244109.55,6.7278635,21403.658,1146536.9,11.465369,999,,,
30216,3126,77,1,1981,1,.10345512,.5,.09836685,.90163315,33009.012,3246.992,31385.516,209463.36,6.3456416,20016.14,1146536.9,11.465369,999,,,
26565,3030,78,1,1981,1,.11405985,.5,.10790598,.89209402,29762.02,3211.5,28156.27,178077.84,5.9833925,18674.946,1146536.9,11.465369,999,,,
22965,2835,79,1,1981,1,.12344873,.5,.11627192,.88372808,26550.52,3087.08,25006.98,149921.57,5.6466531,16933.328,1146536.9,11.465369,999,,,
19434,2709,80,1,1981,1,.13939487,.5,.13031243,.86968757,23463.44,3057.578,21934.651,124914.59,5.3237972,15854.128,1146536.9,11.465369,999,,,
16344,2315,81,1,1981,1,.14164219,.5,.13227438,.86772562,20405.862,2699.173,19056.276,102979.94,5.0465863,13207.383,1146536.9,11.465369,999,,,
12762,2086,82,1,1981,1,.163454,.5,.15110467,.84889533,17706.689,2675.563,16368.908,83923.668,4.7396589,12353.055,1146536.9,11.465369,999,,,
10164,1876,83,1,1981,1,.184573,.5,.16897856,.83102144,15031.126,2539.938,13761.157,67554.76,4.4943247,11176.805,1146536.9,11.465369,999,,,
8910,1614,84,1,1981,1,.18114478,.5,.16610065,.83389935,12491.188,2074.794,11453.791,53793.604,4.3065243,8684.3145,1146536.9,11.465369,999,,,
31461,7740,85,1,1981,,.24601888,4.0647287,1,0,10416.393,10416.39,42339.813,42339.813,4.0647287,,1146536.9,11.465369,999,,,
9186,98,0,1,1981,1,.01066841,.1,.01056695,.98943305,100000,1056.695,99048.975,7203978.9,72.039789,76001.664,1052788.7,10.527887,1,,,
9615,8,1,1,1981,1,.00083203,.5,.00083169,.99916831,98943.305,82.28989,98902.16,7104929.9,71.808091,5870.3769,1052788.7,10.527887,1,,,
8958,4,2,1,1981,1,.00044653,.5,.00044643,.99955357,98861.015,44.13438,98838.948,7006027.7,70.867447,3106.3172,1052788.7,10.527887,1,,,
8607,3,3,1,1981,1,.00034855,.5,.00034849,.99965151,98816.881,34.43697,98799.662,6907188.8,69.898875,2390.3035,1052788.7,10.527887,1,,,
8859,5,4,1,1981,1,.0005644,.5,.00056424,.99943576,98782.444,55.73686,98754.575,6808389.1,68.923068,3814.7637,1052788.7,10.527887,1,,,
9372,2,5,1,1981,1,.0002134,.5,.00021338,.99978662,98726.707,21.06619,98716.174,6709634.6,67.961697,1421.3126,1052788.7,10.527887,1,,,
9798,2,6,1,1981,1,.00020412,.5,.0002041,.9997959,98705.641,20.14606,98695.568,6610918.4,66.976095,1339.3684,1052788.7,10.527887,1,,,
10485,0,7,1,1981,1,0,.5,0,1,98685.495,0,98685.495,6512222.8,65.989666,0,1052788.7,10.527887,1,,,
10725,2,8,1,1981,1,.00018648,.5,.00018646,.99981354,98685.495,18.40117,98676.294,6413537.3,64.989666,1186.7963,1052788.7,10.527887,1,,,
11670,3,9,1,1981,1,.00025707,.5,.00025704,.99974296,98667.094,25.36103,98654.413,6314861,64.001693,1610.6755,1052788.7,10.527887,1,,,
12084,1,10,1,1981,1,.00008275,.5,.00008275,.99991725,98641.733,8.162665,98637.651,6216206.6,63.018019,510.33479,1052788.7,10.527887,1,,,
11856,3,11,1,1981,1,.00025304,.5,.000253,.999747,98633.57,24.95473,98621.092,6117569,62.023193,1535.4889,1052788.7,10.527887,1,,,
12414,3,12,1,1981,1,.00024166,.5,.00024163,.99975837,98608.615,23.82714,98596.702,6018947.9,61.038763,1442.6398,1052788.7,10.527887,1,,,
12756,5,13,1,1981,1,.00039197,.5,.0003919,.9996081,98584.788,38.63494,98565.471,5920351.2,60.053395,2301.2931,1052788.7,10.527887,1,,,
12861,3,14,1,1981,1,.00023326,.5,.00023324,.99976676,98546.153,22.98453,98534.661,5821785.7,59.076742,1346.5157,1052788.7,10.527887,1,,,
12609,5,15,1,1981,1,.00039654,.5,.00039646,.99960354,98523.169,39.06084,98503.638,5723251,58.090408,2249.9761,1052788.7,10.527887,1,,,
12906,7,16,1,1981,1,.00054238,.5,.00054224,.99945776,98484.108,53.40166,98457.407,5624747.4,57.113249,3024.0616,1052788.7,10.527887,1,,,
12312,9,17,1,1981,1,.00073099,.5,.00073073,.99926927,98430.706,71.92598,98394.743,5526290,56.143964,4003.7099,1052788.7,10.527887,1,,,
12276,15,18,1,1981,1,.0012219,.5,.00122115,.99877885,98358.78,120.1109,98298.725,5427895.3,55.184654,6572.2359,1052788.7,10.527887,1,,,
11199,11,19,1,1981,1,.00098223,.5,.00098175,.99901825,98238.669,96.44566,98190.446,5329596.5,54.251514,5186.6473,1052788.7,10.527887,1,,,
11055,11,20,1,1981,1,.00099502,.5,.00099453,.99900547,98142.224,97.60539,98093.421,5231406.1,53.304336,5156.5534,1052788.7,10.527887,1,,,
10632,5,21,1,1981,1,.00047028,.5,.00047017,.99952983,98044.618,46.09743,98021.569,5133312.7,52.356904,2391.0321,1052788.7,10.527887,1,,,
9942,8,22,1,1981,1,.00080467,.5,.00080434,.99919566,97998.521,78.82447,97959.108,5035291.1,51.381297,4012.3056,1052788.7,10.527887,1,,,
9003,8,23,1,1981,1,.00088859,.5,.0008882,.9991118,97919.696,86.97208,97876.21,4937332,50.422256,4343.7726,1052788.7,10.527887,1,,,
9057,1,24,1,1981,1,.00011041,.5,.00011041,.99988959,97832.724,10.80129,97827.323,4839455.8,49.466636,528.93225,1052788.7,10.527887,1,,,
8934,9,25,1,1981,1,.00100739,.5,.00100688,.99899312,97821.923,98.49497,97772.675,4741628.4,48.472043,4727.3862,1052788.7,10.527887,1,,,
8451,11,26,1,1981,1,.00130162,.5,.00130077,.99869923,97723.428,127.1161,97659.87,4643855.8,47.520394,5980.9439,1052788.7,10.527887,1,,,
8922,8,27,1,1981,1,.00089666,.5,.00089626,.99910374,97596.312,87.47149,97552.576,4546195.9,46.581636,4032.6373,1052788.7,10.527887,1,,,
9186,8,28,1,1981,1,.00087089,.5,.00087051,.99912949,97508.84,84.88256,97466.399,4448643.3,45.622974,3831.8222,1052788.7,10.527887,1,,,
